Name,Identifier,Weight,Sector,Shares Held
Southern Company,SO,0.223360,Utilities,11977558.000
S&P Global Inc.,SPGI,0.222160,Financials,2876841.000
Deere & Company,DE,0.215420,Industrials,3677673.000
General Motors Company,GM,0.214227,Consumer Discretionary,15175141.000
Crown Castle International Corp,CCI,0.213409,Real Estate,4811399.000
Norfolk Southern Corporation,NSC,0.212932,Industrials,3095987.000
Raytheon Company,RTN,0.211698,Industrials,3261355.000
Boston Scientific Corporation,BSX,0.206581,Health Care,16045467.000
Illumina Inc.,ILMN,0.199617,Health Care,1701976.000
Marsh & McLennan Companies Inc.,MMC,0.198847,Financials,5847758.000
Micron Technology Inc.,MU,0.197785,Information Technology,12994680.000
Northrop Grumman Corporation,NOC,0.196973,Industrials,1965033.000
Occidental Petroleum Corporation,OXY,0.196650,Energy,8677010.000
Exelon Corporation,EXC,0.196611,Utilities,11226723.000
Illinois Tool Works Inc.,ITW,0.196228,Industrials,3494643.000
Zoetis Inc. Class A,ZTS,0.195646,Health Care,5542442.000
FedEx Corporation,FDX,0.195126,Industrials,2779417.000
General Dynamics Corporation,GD,0.193951,Industrials,3136193.000
Ecolab Inc.,ECL,0.193499,Materials,2932743.000
Bank of New York Mellon Corporation,BK,0.193414,Financials,10167892.000
Vertex Pharmaceuticals Incorporated,VRTX,0.189367,Health Care,2959845.000
Prologis Inc.,PLD,0.189029,Real Estate,7297692.000
Allergan plc,AGN,0.188982,Health Care,3651201.000
Progressive Corporation,PGR,0.185898,Financials,6759762.000
Intercontinental Exchange Inc.,ICE,0.185713,Financials,6567713.000
Biogen Inc.,BIIB,0.185363,Health Care,2276820.000
Emerson Electric Co.,EMR,0.184265,Industrials,7171944.000
MetLife Inc.,MET,0.182178,Financials,11080485.000
Dow Inc.,DOW,0.181031,Materials,8693743.000
Walgreens Boots Alliance Inc,WBA,0.180917,Consumer Staples,9268115.000
Air Products and Chemicals Inc.,APD,0.178370,Materials,2542418.000
Prudential Financial Inc.,PRU,0.177114,Financials,4783040.000
Target Corporation,TGT,0.176483,Consumer Discretionary,6048666.000
Aon plc,AON,0.174783,Financials,2775292.000
Kimberly-Clark Corporation,KMB,0.174360,Consumer Staples,3972142.000
Analog Devices Inc.,ADI,0.173550,Information Technology,4254521.000
Applied Materials Inc.,AMAT,0.171007,Information Technology,10988630.000
Cognizant Technology Solutions Corporation Class A,CTSH,0.170606,Information Technology,6666161.000
Capital One Financial Corporation,COF,0.169480,Financials,5416135.000
American Electric Power Company Inc.,AEP,0.168823,Utilities,5710861.000
American International Group Inc.,AIG,0.168778,Financials,10144645.000
Waste Management Inc.,WM,0.167524,Industrials,4506309.000
Phillips 66,PSX,0.167087,Energy,4890722.000
Marathon Petroleum Corporation,MPC,0.166578,Energy,7797079.000
Edwards Lifesciences Corporation,EW,0.162682,Health Care,2400525.000
Marriott International Inc. Class A,MAR,0.159422,Consumer Discretionary,3298063.000
Kinder Morgan Inc Class P,KMI,0.158948,Energy,22541446.000
BB&T Corporation,BBT,0.155903,Financials,8846493.000
Autodesk Inc.,ADSK,0.155837,Information Technology,2535507.000
Equinix Inc.,EQIX,0.155477,Real Estate,964947.000
Aflac Incorporated,AFL,0.154922,Financials,8776693.000
Valero Energy Corporation,VLO,0.153558,Energy,4884546.000
Estee Lauder Companies Inc. Class A,EL,0.152763,Consumer Staples,2526904.000
Baxter International Inc.,BAX,0.152428,Health Care,5516971.000
Sherwin-Williams Company,SHW,0.152079,Materials,948452.000
Ross Stores Inc.,ROST,0.151762,Consumer Discretionary,4311851.000
Ford Motor Company,F,0.150725,Consumer Discretionary,45239856.000
Travelers Companies Inc.,TRV,0.150642,Financials,3059216.000
Fidelity National Information Services Inc.,FIS,0.149276,Information Technology,3758485.000
Roper Technologies Inc.,ROP,0.149187,Industrials,1199586.000
Delta Air Lines Inc.,DAL,0.148955,Industrials,7201342.000
Eaton Corp. Plc,ETN,0.148269,Industrials,4950024.000
Sempra Energy,SRE,0.143734,Utilities,3172806.000
Williams Companies Inc.,WMB,0.142867,Energy,14019177.000
Activision Blizzard Inc.,ATVI,0.141831,Communication Services,8842841.000
Xilinx Inc.,XLNX,0.140801,Information Technology,2930535.000
Johnson Controls International plc,JCI,0.138853,Industrials,10583034.000
Fiserv Inc.,FISV,0.137161,Information Technology,4532857.000
Sysco Corporation,SYY,0.136578,Consumer Staples,5473592.000
Public Storage,PSA,0.134491,Real Estate,1737662.000
Allstate Corporation,ALL,0.134298,Financials,3842477.000
Dollar General Corporation,DG,0.133995,Consumer Discretionary,3043198.000
O'Reilly Automotive Inc.,ORLY,0.133775,Consumer Discretionary,920037.000
Red Hat Inc.,RHT,0.133215,Information Technology,2049129.000
Anadarko Petroleum Corporation,APC,0.132806,Energy,5866407.000
Humana Inc.,HUM,0.131927,Health Care,1576488.000
Moody's Corporation,MCO,0.130620,Financials,1925902.000
Constellation Brands Inc. Class A,STZ,0.130580,Consumer Staples,1930680.000
HP Inc.,HPQ,0.129960,Information Technology,17749490.000
eBay Inc.,EBAY,0.128916,Consumer Discretionary,9952565.000
Yum! Brands Inc.,YUM,0.128306,Consumer Discretionary,3546804.000
General Mills Inc.,GIS,0.126567,Consumer Staples,6908382.000
Amphenol Corporation Class A,APH,0.126458,Information Technology,3429909.000
Alexion Pharmaceuticals Inc.,ALXN,0.126106,Health Care,2587123.000
HCA Healthcare Inc,HCA,0.125827,Health Care,3090545.000
TE Connectivity Ltd.,TEL,0.125675,Information Technology,3982270.000
V.F. Corporation,VFC,0.124901,Consumer Discretionary,3760130.000
Public Service Enterprise Group Inc,PEG,0.122365,Utilities,5851392.000
Lam Research Corporation,LRCX,0.122354,Information Technology,1766200.000
ONEOK Inc.,OKE,0.119138,Energy,4765136.000
Regeneron Pharmaceuticals Inc.,REGN,0.118780,Health Care,907556.000
Pioneer Natural Resources Company,PXD,0.118317,Energy,1941120.000
Welltower Inc.,WELL,0.117410,Real Estate,4473744.000
PPG Industries Inc.,PPG,0.116715,Materials,2769405.000
Electronic Arts Inc.,EA,0.116708,Communication Services,3494378.000
SunTrust Banks Inc.,STI,0.115594,Financials,5131099.000
LyondellBasell Industries NV,LYB,0.115573,Materials,3522708.000
Xcel Energy Inc.,XEL,0.115547,Utilities,5917144.000
Equity Residential,EQR,0.115443,Real Estate,4282641.000
Halliburton Company,HAL,0.114103,Energy,10077336.000
Ingersoll-Rand Plc,IR,0.113693,Industrials,2807482.000
Corning Inc,GLW,0.113077,Information Technology,9107716.000
AvalonBay Communities Inc.,AVB,0.112993,Real Estate,1603724.000
State Street Corporation,STT,0.112043,Financials,4389488.000
Consolidated Edison Inc.,ED,0.110661,Utilities,3717875.000
AutoZone Inc.,AZO,0.109901,Consumer Discretionary,290841.000
Southwest Airlines Co.,LUV,0.108182,Industrials,5758343.000
Paychex Inc.,PAYX,0.107580,Information Technology,3704298.000
Hilton Worldwide Holdings Inc,HLT,0.107168,Consumer Discretionary,3415490.000
Zimmer Biomet Holdings Inc.,ZBH,0.105736,Health Care,2366570.000
Fortive Corp.,FTV,0.105700,Industrials,3388301.000
T. Rowe Price Group,TROW,0.105327,Financials,2773762.000
Dollar Tree Inc.,DLTR,0.104244,Consumer Discretionary,2754780.000
Discover Financial Services,DFS,0.104107,Financials,3800870.000
Twitter Inc.,TWTR,0.103454,Communication Services,8434147.000
Digital Realty Trust Inc.,DLR,0.101971,Real Estate,2405936.000
PACCAR Inc,PCAR,0.101844,Industrials,4005577.000
Parker-Hannifin Corporation,PH,0.101512,Industrials,1511963.000
Agilent Technologies Inc.,A,0.101503,Health Care,3677117.000
Advanced Micro Devices Inc.,AMD,0.100594,Information Technology,10118437.000
Cummins Inc.,CMI,0.099731,Industrials,1675529.000
WEC Energy Group Inc,WEC,0.099394,Utilities,3652054.000
Archer-Daniels-Midland Company,ADM,0.099323,Consumer Staples,6492211.000
U.S. Dollar,CASH_USD,0.097822,Unassigned,274820350.000
Aptiv PLC,APTV,0.097312,Consumer Discretionary,3033577.000
Motorola Solutions Inc.,MSI,0.097045,Information Technology,1882723.000
Willis Towers Watson Public Limited Company,WLTW,0.096362,Financials,1493938.000
M&T Bank Corporation,MTB,0.096066,Financials,1603799.000
Concho Resources Inc.,CXO,0.095917,Energy,2325198.000
Microchip Technology Incorporated,MCHP,0.095487,Information Technology,2743770.000
Hewlett Packard Enterprise Co.,HPE,0.094173,Information Technology,15937790.000
Rockwell Automation Inc.,ROK,0.093957,Industrials,1407192.000
SBA Communications Corp. Class A,SBAC,0.092891,Real Estate,1312177.000
PPL Corporation,PPL,0.092360,Utilities,8284637.000
DTE Energy Company,DTE,0.092188,Utilities,2108870.000
McKesson Corporation,MCK,0.092180,Health Care,2220806.000
TransDigm Group Incorporated,TDG,0.091864,Industrials,563336.000
Verisk Analytics Inc,VRSK,0.091701,Industrials,1886798.000
Eversource Energy,ES,0.091634,Utilities,3669777.000
Stanley Black & Decker Inc.,SWK,0.091246,Industrials,1757958.000
FleetCor Technologies Inc.,FLT,0.090478,Information Technology,1008323.000
Carnival Corporation,CCL,0.090215,Consumer Discretionary,4624972.000
Global Payments Inc.,GPN,0.089766,Information Technology,1816639.000
IQVIA Holdings Inc,IQV,0.089485,Health Care,1844584.000
Synchrony Financial,SYF,0.089237,Financials,7560353.000
Fifth Third Bancorp,FITB,0.088014,Financials,8916840.000
Royal Caribbean Cruises Ltd.,RCL,0.087845,Consumer Discretionary,1988477.000
Monster Beverage Corporation,MNST,0.087807,Consumer Staples,4551329.000
Ventas Inc.,VTR,0.087700,Real Estate,4123556.000
Northern Trust Corporation,NTRS,0.087048,Financials,2557523.000
Tyson Foods Inc. Class A,TSN,0.086979,Consumer Staples,3391013.000
Realty Income Corporation,O,0.086821,Real Estate,3517641.000
Edison International,EIX,0.086524,Utilities,3772190.000
Align Technology Inc.,ALGN,0.085991,Health Care,837716.000
Boston Properties Inc.,BXP,0.085465,Real Estate,1788351.000
Centene Corporation,CNC,0.085252,Health Care,4783424.000
Kraft Heinz Company,KHC,0.084779,Consumer Staples,7208698.000
KLA-Tencor Corporation,KLAC,0.084663,Information Technology,1912751.000
Cerner Corporation,CERN,0.084523,Health Care,3766186.000
Kroger Co.,KR,0.084055,Consumer Staples,9235099.000
FirstEnergy Corp.,FE,0.083990,Utilities,5831909.000
Freeport-McMoRan Inc.,FCX,0.083707,Materials,16607615.000
VeriSign Inc.,VRSN,0.082641,Information Technology,1229710.000
IHS Markit Ltd.,INFO,0.082633,Industrials,4207852.000
Weyerhaeuser Company,WY,0.082325,Real Estate,8623550.000
Ulta Beauty Inc,ULTA,0.082205,Consumer Discretionary,650406.000
Fastenal Company,FAST,0.082077,Industrials,3316825.000
Ball Corporation,BLL,0.080867,Materials,3946951.000
Harris Corporation,HRS,0.080862,Industrials,1367524.000
AMETEK Inc.,AME,0.080580,Industrials,2635092.000
Clorox Company,CLX,0.080571,Consumer Staples,1485855.000
Ameriprise Financial Inc.,AMP,0.080426,Financials,1568322.000
United Continental Holdings Inc.,UAL,0.079402,Industrials,2619125.000
NetApp Inc.,NTAP,0.078805,Information Technology,2859277.000
IDEXX Laboratories Inc.,IDXX,0.078344,Health Care,990680.000
McCormick & Company Incorporated,MKC,0.077387,Consumer Staples,1419127.000
Newmont Mining Corporation,NEM,0.076462,Materials,6174503.000
American Water Works Company Inc.,AWK,0.076380,Utilities,2095112.000
Hartford Financial Services Group Inc.,HIG,0.076172,Financials,4161724.000
MSCI Inc. Class A,MSCI,0.076165,Financials,975549.000
Essex Property Trust Inc.,ESS,0.075468,Real Estate,761284.000
Mettler-Toledo International Inc.,MTD,0.075087,Health Care,288115.000
Nucor Corporation,NUE,0.074999,Materials,3619053.000
CBS Corporation Class B,CBS,0.074863,Communication Services,4026032.000
International Paper Company,IP,0.074718,Materials,4674031.000
Church & Dwight Co. Inc.,CHD,0.074549,Consumer Staples,2846782.000
Omnicom Group Inc,OMC,0.074226,Communication Services,2566518.000
Cadence Design Systems Inc.,CDNS,0.074159,Information Technology,3220119.000
Cintas Corporation,CTAS,0.073350,Industrials,984416.000
Entergy Corporation,ETR,0.072972,Utilities,2195162.000
DXC Technology Co.,DXC,0.072922,Information Technology,3104495.000
Synopsys Inc.,SNPS,0.072005,Information Technology,1732960.000
Ameren Corporation,AEE,0.071418,Utilities,2831918.000
Chipotle Mexican Grill Inc.,CMG,0.070959,Consumer Discretionary,282174.000
Waters Corporation,WAT,0.070929,Health Care,827824.000
First Republic Bank,FRC,0.070818,Financials,1931590.000
Arista Networks Inc.,ANET,0.070714,Information Technology,604684.000
KeyCorp,KEY,0.070574,Financials,11676708.000
Best Buy Co. Inc.,BBY,0.070279,Consumer Discretionary,2698765.000
L3 Technologies Inc,LLL,0.070207,Industrials,917811.000
Keysight Technologies Inc,KEYS,0.070114,Information Technology,2176056.000
Republic Services Inc.,RSG,0.069967,Industrials,2495731.000
Hess Corporation,HES,0.069560,Energy,2947088.000
Maxim Integrated Products Inc.,MXIM,0.068710,Information Technology,3223121.000
Diamondback Energy Inc.,FANG,0.068120,Energy,1790738.000
Genuine Parts Company,GPC,0.068084,Consumer Discretionary,1691494.000
Skyworks Solutions Inc.,SWKS,0.068072,Information Technology,2044028.000
Citizens Financial Group Inc.,CFG,0.067666,Financials,5446954.000
Total System Services Inc.,TSS,0.067453,Information Technology,1918622.000
Hershey Company,HSY,0.066541,Consumer Staples,1600088.000
Regions Financial Corporation,RF,0.065875,Financials,11893774.000
Vulcan Materials Company,VMC,0.065732,Materials,1506504.000
CBRE Group Inc. Class A,CBRE,0.065266,Real Estate,3618672.000
Alexandria Real Estate Equities Inc.,ARE,0.064671,Real Estate,1305020.000
ANSYS Inc.,ANSS,0.064594,Information Technology,958131.000
Western Digital Corporation,WDC,0.064367,Information Technology,3330835.000
D.R. Horton Inc.,DHI,0.063608,Consumer Discretionary,3911107.000
Symantec Corporation,SYMC,0.063571,Information Technology,7349601.000
Laboratory Corporation of America Holdings,LH,0.063234,Health Care,1164062.000
Equifax Inc.,EFX,0.062876,Industrials,1398936.000
CMS Energy Corporation,CMS,0.062411,Utilities,3243969.000
CenterPoint Energy Inc.,CNP,0.062270,Utilities,5802323.000
Arthur J. Gallagher & Co.,AJG,0.061361,Financials,2130868.000
Lennar Corporation Class A,LEN,0.061086,Consumer Discretionary,3338794.000
Xylem Inc.,XYL,0.061066,Industrials,2081004.000
Expedia Group Inc.,EXPE,0.060910,Consumer Discretionary,1358209.000
Marathon Oil Corporation,MRO,0.060415,Energy,9715502.000
Kellogg Company,K,0.060230,Consumer Staples,2897899.000
ResMed Inc.,RMD,0.060155,Health Care,1659276.000
Evergy Inc.,EVRG,0.059866,Utilities,2947030.000
Conagra Brands Inc.,CAG,0.059819,Consumer Staples,5585049.000
Principal Financial Group Inc.,PFG,0.059815,Financials,3032183.000
Huntington Bancshares Incorporated,HBAN,0.059450,Financials,12226736.000
Devon Energy Corporation,DVN,0.059296,Energy,5074137.000
Cooper Companies Inc.,COO,0.058765,Health Care,571299.000
Dover Corporation,DOV,0.058667,Industrials,1690603.000
Darden Restaurants Inc.,DRI,0.058498,Consumer Discretionary,1419945.000
Gartner Inc.,IT,0.058488,Information Technology,1034996.000
HCP Inc.,HCP,0.058343,Real Estate,5494688.000
Host Hotels & Resorts Inc.,HST,0.058047,Real Estate,8583014.000
Wynn Resorts Limited,WYNN,0.057744,Consumer Discretionary,1120955.000
MGM Resorts International,MGM,0.057249,Consumer Discretionary,5861290.000
Cardinal Health Inc.,CAH,0.057135,Health Care,3433468.000
Mylan N.V.,MYL,0.056883,Health Care,5903425.000
American Airlines Group Inc.,AAL,0.056711,Industrials,4681855.000
Expeditors International of Washington Inc.,EXPD,0.056660,Industrials,1994495.000
W.W. Grainger Inc.,GWW,0.056650,Industrials,520099.000
Apache Corporation,APA,0.056633,Energy,4351846.000
Incyte Corporation,INCY,0.056353,Health Care,2056588.000
Loews Corporation,L,0.056312,Financials,3185718.000
Fortinet Inc.,FTNT,0.056288,Information Technology,1681381.000
Teleflex Incorporated,TFX,0.056253,Health Care,537485.000
Celanese Corporation,CE,0.055947,Materials,1491652.000
International Flavors & Fragrances Inc.,IFF,0.055860,Materials,1159539.000
J.M. Smucker Company,SJM,0.055821,Consumer Staples,1318617.000
Lincoln National Corporation,LNC,0.055635,Financials,2364225.000
Fox Corporation Class A,FOXA,0.054883,Communication Services,4084423.000
CarMax Inc.,KMX,0.054766,Consumer Discretionary,2026063.000
Baker Hughes a GE Company Class A,BHGE,0.054668,Energy,5943583.000
Cincinnati Financial Corporation,CINF,0.054113,Financials,1733065.000
Noble Energy Inc.,NBL,0.054070,Energy,5605259.000
Advance Auto Parts Inc.,AAP,0.054016,Consumer Discretionary,843305.000
Martin Marietta Materials Inc.,MLM,0.053897,Materials,714192.000
Seagate Technology PLC,STX,0.053854,Information Technology,2987687.000
Broadridge Financial Solutions Inc.,BR,0.053746,Information Technology,1333276.000
Copart Inc.,CPRT,0.053659,Industrials,2312814.000
Norwegian Cruise Line Holdings Ltd.,NCLH,0.053311,Consumer Discretionary,2514602.000
Citrix Systems Inc.,CTXS,0.053089,Information Technology,1465533.000
WellCare Health Plans Inc.,WCG,0.052806,Health Care,572239.000
SVB Financial Group,SIVB,0.052752,Financials,601952.000
Comerica Incorporated,CMA,0.052570,Financials,1860292.000
Extra Space Storage Inc.,EXR,0.052535,Real Estate,1475459.000
Tractor Supply Company,TSCO,0.052052,Consumer Discretionary,1390312.000
Varian Medical Systems Inc.,VAR,0.051578,Health Care,1056751.000
Akamai Technologies Inc.,AKAM,0.051189,Information Technology,1877146.000
Hologic Inc.,HOLX,0.050722,Health Care,3111970.000
C.H. Robinson Worldwide Inc.,CHRW,0.050633,Industrials,1589009.000
Masco Corporation,MAS,0.050573,Industrials,3510695.000
E*TRADE Financial Corporation,ETFC,0.050552,Financials,2850643.000
Textron Inc.,TXT,0.050406,Industrials,2715954.000
UDR Inc.,UDR,0.050186,Real Estate,3169785.000
Mid-America Apartment Communities Inc.,MAA,0.050079,Real Estate,1320054.000
NRG Energy Inc.,NRG,0.049928,Utilities,3337307.000
ABIOMED Inc.,ABMD,0.049480,Health Care,522681.000
Cabot Oil & Gas Corporation,COG,0.049236,Energy,5042791.000
AmerisourceBergen Corporation,ABC,0.049075,Health Care,1829730.000
Quest Diagnostics Incorporated,DGX,0.049041,Health Care,1546482.000
Kansas City Southern,KSU,0.049014,Industrials,1167047.000
AES Corporation,AES,0.048722,Utilities,7676829.000
Eastman Chemical Company,EMN,0.048566,Materials,1614499.000
Atmos Energy Corporation,ATO,0.048276,Utilities,1353945.000
Kohl's Corporation,KSS,0.048098,Consumer Discretionary,1917219.000
Tiffany & Co.,TIF,0.047682,Consumer Discretionary,1249242.000
Vornado Realty Trust,VNO,0.047599,Real Estate,2009991.000
CenturyLink Inc.,CTL,0.047461,Communication Services,10884530.000
Raymond James Financial Inc.,RJF,0.047369,Financials,1502852.000
Regency Centers Corporation,REG,0.045919,Real Estate,1941080.000
DENTSPLY SIRONA Inc.,XRAY,0.045604,Health Care,2543074.000
Jack Henry & Associates Inc.,JKHY,0.045441,Information Technology,887516.000
Molson Coors Brewing Company Class B,TAP,0.045425,Consumer Staples,2143739.000
Hormel Foods Corporation,HRL,0.045189,Consumer Staples,3113126.000
Cboe Global Markets Inc,CBOE,0.044938,Financials,1276125.000
Alliant Energy Corp,LNT,0.044901,Utilities,2736307.000
FMC Corporation,FMC,0.044876,Materials,1561093.000
PerkinElmer Inc.,PKI,0.044327,Health Care,1284105.000
Duke Realty Corporation,DRE,0.044320,Real Estate,4164267.000
Franklin Resources Inc.,BEN,0.044291,Financials,3500153.000
Universal Health Services Inc. Class B,UHS,0.044224,Health Care,983464.000
Viacom Inc. Class B,VIAB,0.043558,Communication Services,4021375.000
TechnipFMC Plc,FTI,0.043300,Energy,4944932.000
Garmin Ltd.,GRMN,0.043269,Consumer Discretionary,1384985.000
National Oilwell Varco Inc.,NOV,0.042997,Energy,4444226.000
Pinnacle West Capital Corporation,PNW,0.042739,Utilities,1274348.000
Hasbro Inc.,HAS,0.042697,Consumer Discretionary,1337560.000
Westinghouse Air Brake Technologies Corporation,WAB,0.042480,Industrials,1550497.000
United Rentals Inc.,URI,0.042467,Industrials,946501.000
NiSource Inc,NI,0.042370,Utilities,4312848.000
Take-Two Interactive Software Inc.,TTWO,0.042155,Communication Services,1302284.000
Lamb Weston Holdings Inc.,LW,0.042126,Consumer Staples,1698926.000
Nasdaq Inc.,NDAQ,0.042084,Financials,1317338.000
Iron Mountain Inc.,IRM,0.042039,Real Estate,3276081.000
CF Industries Holdings Inc.,CF,0.041433,Materials,2653935.000
Discovery Inc. Class C,DISCK,0.041183,Communication Services,4121814.000
F5 Networks Inc.,FFIV,0.041160,Information Technology,696084.000
Avery Dennison Corporation,AVY,0.041059,Materials,991228.000
PVH Corp.,PVH,0.040592,Consumer Discretionary,877553.000
Federal Realty Investment Trust,FRT,0.040581,Real Estate,860498.000
LKQ Corporation,LKQ,0.040330,Consumer Discretionary,3642006.000
Qorvo Inc.,QRVO,0.039743,Information Technology,1425789.000
Juniper Networks Inc.,JNPR,0.039556,Information Technology,3978770.000
Huntington Ingalls Industries Inc.,HII,0.038895,Industrials,494330.000
Mosaic Company,MOS,0.038787,Materials,4059864.000
Tapestry Inc.,TPR,0.038593,Consumer Discretionary,3360931.000
WestRock Company,WRK,0.038367,Materials,2922634.000
