Name,Identifier,Weight,Sector,Shares Held
Primerica Inc.,PRI,0.315380,Financials,501677.000
ITT Inc.,ITT,0.312562,Industrials,1029674.000
MKS Instruments Inc.,MKSI,0.311276,Information Technology,638515.000
Woodward Inc.,WWD,0.309743,Industrials,658272.000
Wyndham Hotels & Resorts Inc.,WH,0.306904,Consumer Discretionary,1153246.000
National Instruments Corporation,NATI,0.304652,Information Technology,1324262.000
Brixmor Property Group Inc.,BRX,0.303524,Real Estate,3518291.000
National Fuel Gas Company,NFG,0.302261,Utilities,1016467.000
ManpowerGroup Inc.,MAN,0.300164,Industrials,711382.000
Teradata Corporation,TDC,0.298453,Information Technology,1381930.000
JetBlue Airways Corporation,JBLU,0.297116,Industrials,3611315.000
Kemper Corporation,KMPR,0.297112,Financials,717155.000
Chemed Corporation,CHE,0.297042,Health Care,188110.000
Toll Brothers Inc.,TOL,0.295366,Consumer Discretionary,1580596.000
Avnet Inc.,AVT,0.294682,Information Technology,1277408.000
Bemis Company Inc.,BMS,0.294461,Materials,1074030.000
Cable One Inc.,CABO,0.291716,Communication Services,58458.000
AECOM,ACM,0.290140,Industrials,1838981.000
Webster Financial Corporation,WBS,0.289980,Financials,1087260.000
MDU Resources Group Inc,MDU,0.288029,Utilities,2310192.000
Ashland Global Holdings Inc.,ASH,0.287219,Materials,737713.000
Littelfuse Inc.,LFUS,0.284924,Information Technology,291065.000
ViaSat Inc.,VSAT,0.284538,Information Technology,669783.000
IDACORP Inc.,IDA,0.282017,Utilities,593570.000
Medidata Solutions Inc.,MDSO,0.280577,Health Care,733695.000
Casey's General Stores Inc.,CASY,0.280404,Consumer Staples,431261.000
Genesee & Wyoming Inc. Class A,GWR,0.279872,Industrials,663138.000
Brighthouse Financial Inc.,BHF,0.278494,Financials,1374508.000
Stericycle Inc.,SRCL,0.277545,Industrials,1004474.000
Curtiss-Wright Corporation,CW,0.276906,Industrials,504104.000
Ollie's Bargain Outlet Holdings Inc,OLLI,0.276833,Consumer Discretionary,607460.000
New York Times Company Class A,NYT,0.276819,Communication Services,1672890.000
Eaton Vance Corp.,EV,0.276555,Financials,1356778.000
Prosperity Bancshares Inc.(R),PB,0.276241,Financials,781739.000
Insperity Inc.,NSP,0.275121,Industrials,438895.000
Carter's Inc.,CRI,0.274803,Consumer Discretionary,536349.000
PacWest Bancorp,PACW,0.274759,Financials,1423176.000
Hanover Insurance Group Inc.,THG,0.274268,Financials,478009.000
Watsco Inc.,WSO,0.272624,Industrials,378623.000
Ingevity Corporation,NGVT,0.270864,Materials,490320.000
First Horizon National Corporation,FHN,0.269353,Financials,3749178.000
Skechers U.S.A. Inc. Class A,SKX,0.268836,Consumer Discretionary,1572314.000
United Therapeutics Corporation,UTHR,0.268633,Health Care,515096.000
Goodyear Tire & Rubber Company,GT,0.267996,Consumer Discretionary,2735551.000
Brunswick Corporation,BC,0.267905,Consumer Discretionary,1025291.000
CACI International Inc Class A,CACI,0.266904,Information Technology,292915.000
AGCO Corporation,AGCO,0.266823,Industrials,757175.000
Highwoods Properties Inc.,HIW,0.266167,Real Estate,1220045.000
Lumentum Holdings Inc.,LITE,0.265377,Information Technology,896546.000
Murphy Oil Corporation,MUR,0.263509,Energy,1916477.000
JBG SMITH Properties,JBGS,0.263435,Real Estate,1299875.000
Williams-Sonoma Inc.,WSM,0.262719,Consumer Discretionary,944319.000
First Solar Inc.,FSLR,0.262415,Information Technology,889761.000
ONE Gas Inc.,OGS,0.262337,Utilities,619371.000
nVent Electric plc,NVT,0.259946,Industrials,1899995.000
MAXIMUS Inc.,MMS,0.259222,Information Technology,751615.000
Landstar System Inc.,LSTR,0.258831,Industrials,472625.000
Crane Co.,CR,0.257726,Industrials,598566.000
Trex Company Inc.,TREX,0.256996,Industrials,693510.000
Hawaiian Electric Industries Inc.,HE,0.256782,Utilities,1283405.000
SLM Corp,SLM,0.256338,Financials,5146047.000
SYNNEX Corporation,SNX,0.255734,Information Technology,488718.000
Cinemark Holdings Inc.,CNK,0.255296,Communication Services,1254882.000
Southwest Gas Holdings Inc.,SWX,0.254229,Utilities,625344.000
Sterling Bancorp,STL,0.253682,Financials,2505912.000
First Industrial Realty Trust Inc.,FR,0.253188,Real Estate,1491425.000
Life Storage Inc.,LSI,0.253101,Real Estate,549391.000
Deckers Outdoor Corporation,DECK,0.253054,Consumer Discretionary,343197.000
Transocean Ltd.,RIG,0.252957,Energy,5965404.000
Equitrans Midstream Corp.,ETRN,0.251013,Energy,2396465.000
Jabil Inc.,JBL,0.249810,Information Technology,1658682.000
New Jersey Resources Corporation,NJR,0.249775,Utilities,1045837.000
Hospitality Properties Trust,HPT,0.249472,Real Estate,1937318.000
Haemonetics Corporation,HAE,0.248694,Health Care,600922.000
Wintrust Financial Corporation,WTFC,0.248189,Financials,665718.000
EMCOR Group Inc.,EME,0.246951,Industrials,659722.000
World Wrestling Entertainment Inc. Class A,WWE,0.246385,Communication Services,515296.000
Kirby Corporation,KEX,0.245319,Industrials,634863.000
Stifel Financial Corp.,SF,0.244838,Financials,846818.000
Janus Henderson Group PLC,JHG,0.242436,Financials,1943739.000
Knight-Swift Transportation Holdings Inc. Class A,KNX,0.240191,Industrials,1467532.000
Pinnacle Financial Partners Inc.,PNFP,0.239669,Financials,858611.000
LogMeIn Inc.,LOGM,0.239263,Information Technology,598943.000
Interactive Brokers Group Inc. Class A,IBKR,0.238553,Financials,884577.000
First Financial Bankshares Inc,FFIN,0.237428,Financials,798963.000
ALLETE Inc.,ALE,0.237197,Utilities,606954.000
Marriott Vacations Worldwide Corporation,VAC,0.237104,Consumer Discretionary,463388.000
Olin Corporation,OLN,0.236893,Materials,1942572.000
Spire Inc.,SR,0.236670,Utilities,597776.000
Rayonier Inc.,RYN,0.236374,Real Estate,1525531.000
j2 Global Inc.,JCOM,0.236098,Information Technology,545680.000
Tech Data Corporation,TECD,0.234236,Information Technology,439649.000
Wyndham Destinations Inc.,WYND,0.233947,Consumer Discretionary,1112884.000
Pebblebrook Hotel Trust,PEB,0.232257,Real Estate,1537654.000
Texas Roadhouse Inc.,TXRH,0.231383,Consumer Discretionary,785450.000
ACI Worldwide Inc.,ACIW,0.230152,Information Technology,1368300.000
Umpqua Holdings Corporation,UMPQ,0.228772,Financials,2596074.000
CoreSite Realty Corporation,COR,0.228517,Real Estate,432475.000
Silicon Laboratories Inc.,SLAB,0.228398,Information Technology,507639.000
Eagle Materials Inc.,EXP,0.228243,Materials,540744.000
United Bankshares Inc.,UBSI,0.227425,Financials,1202904.000
Flowers Foods Inc.,FLO,0.227360,Consumer Staples,2161596.000
Cousins Properties Incorporated,CUZ,0.225943,Real Estate,4952624.000
Brink's Company,BCO,0.225918,Industrials,584876.000
Evercore Inc Class A,EVR,0.223889,Financials,482969.000
PBF Energy Inc. Class A,PBF,0.223795,Energy,1411925.000
ICU Medical Inc.,ICUI,0.223627,Health Care,195614.000
Black Hills Corporation,BKH,0.223210,Utilities,636230.000
Healthcare Realty Trust Incorporated,HR,0.222889,Real Estate,1476109.000
HealthEquity Inc,HQY,0.220883,Health Care,639458.000
LiveRamp Holdings Inc.,RAMP,0.220629,Information Technology,803876.000
Blackbaud Inc.,BLKB,0.220101,Information Technology,572199.000
Coherent Inc.,COHR,0.219439,Information Technology,286600.000
Hancock Whitney Corporation,HWC,0.218461,Financials,1009493.000
MSA Safety Inc.,MSA,0.217056,Industrials,413071.000
Science Applications International Corp.,SAIC,0.215796,Information Technology,599602.000
Manhattan Associates Inc.,MANH,0.215532,Information Technology,765988.000
MSC Industrial Direct Co. Inc. Class A,MSM,0.215015,Industrials,531884.000
Cracker Barrel Old Country Store Inc.,CBRL,0.214940,Consumer Discretionary,283231.000
NewMarket Corporation,NEU,0.214661,Materials,102755.000
Associated Banc-Corp,ASB,0.214023,Financials,1936104.000
Integra LifeSciences Holdings Corporation,IART,0.213906,Health Care,833399.000
F.N.B. Corporation,FNB,0.213720,Financials,3822905.000
Clean Harbors Inc.,CLH,0.212418,Industrials,598813.000
Thor Industries Inc.,THO,0.212394,Consumer Discretionary,616273.000
Bank OZK,OZK,0.212269,Financials,1424166.000
American Eagle Outfitters Inc.,AEO,0.211931,Consumer Discretionary,1974641.000
TCF Financial Corporation,TCF,0.208943,Financials,1931887.000
Regal Beloit Corp,RBC,0.208375,Industrials,504092.000
Six Flags Entertainment Corporation,SIX,0.208134,Consumer Discretionary,841929.000
PNM Resources Inc.,PNM,0.206510,Utilities,938417.000
TreeHouse Foods Inc.,THS,0.205598,Consumer Staples,659616.000
Semtech Corporation,SMTC,0.205230,Information Technology,775307.000
Aaron's Inc.,AAN,0.204407,Consumer Discretionary,791729.000
ASGN Inc,ASGN,0.204301,Industrials,620337.000
TEGNA Inc.,TGNA,0.203719,Communication Services,2542387.000
Valvoline Inc.,VVV,0.203235,Materials,2216779.000
Globus Medical Inc Class A,GMED,0.202392,Health Care,897053.000
Ryder System Inc.,R,0.200603,Industrials,625780.000
NorthWestern Corporation,NWE,0.199889,Utilities,593158.000
Weingarten Realty Investors,WRI,0.199816,Real Estate,1409286.000
NCR Corporation,NCR,0.199502,Information Technology,1401287.000
Valley National Bancorp,VLY,0.198066,Financials,3911158.000
Sabra Health Care REIT Inc.,SBRA,0.197113,Real Estate,2100852.000
Bank of Hawaii Corporation,BOH,0.195707,Financials,485525.000
LivaNova Plc,LIVN,0.195187,Health Care,573566.000
Wendy's Company,WEN,0.194571,Consumer Discretionary,2142781.000
Amedisys Inc.,AMED,0.193842,Health Care,343173.000
Kennametal Inc.,KMT,0.193603,Industrials,968812.000
Patterson-UTI Energy Inc.,PTEN,0.191877,Energy,2517081.000
Churchill Downs Incorporated,CHDN,0.190227,Consumer Discretionary,417642.000
CoreLogic Inc.,CLGX,0.188790,Information Technology,943577.000
Timken Company,TKR,0.187912,Industrials,803369.000
Allegheny Technologies Incorporated,ATI,0.187714,Materials,1480704.000
Scotts Miracle-Gro Company Class A,SMG,0.187660,Materials,462988.000
Core Laboratories NV,CLB,0.186964,Energy,522106.000
Apergy Corp.,APY,0.185443,Energy,911308.000
Chesapeake Energy Corporation,CHK,0.185294,Energy,12303115.000
Eldorado Resorts Inc,ERI,0.185181,Consumer Discretionary,766306.000
MasTec Inc.,MTZ,0.184837,Industrials,725519.000
Federated Investors Inc. Class B,FII,0.181554,Financials,1128082.000
Chemical Financial Corporation,CHFC,0.180637,Financials,842106.000
Trinity Industries Inc.,TRN,0.179861,Industrials,1570959.000
Covetrus Inc.,CVET,0.179282,Health Care,1126586.000
Louisiana-Pacific Corporation,LPX,0.178614,Materials,1454208.000
Lancaster Colony Corporation,LANC,0.177557,Consumer Staples,230098.000
Taubman Centers Inc.,TCO,0.177206,Real Estate,720088.000
Perspecta Inc.,PRSP,0.176287,Information Technology,1656832.000
Domtar Corporation,UFS,0.175457,Materials,741318.000
Graham Holdings Co.,GHC,0.175152,Consumer Discretionary,51295.000
Energizer Holdings Inc,ENR,0.174893,Consumer Staples,749117.000
EnerSys,ENS,0.174841,Industrials,507167.000
Corporate Office Properties Trust,OFC,0.172533,Real Estate,1299026.000
Ensco Rowan Plc Class A,ESV,0.172469,Energy,2318827.000
Telephone and Data Systems Inc.,TDS,0.172219,Communication Services,1104531.000
UMB Financial Corporation,UMBF,0.172156,Financials,520115.000
Helen of Troy Limited,HELE,0.171574,Consumer Discretionary,301539.000
KBR Inc.,KBR,0.170444,Industrials,1661274.000
Dick's Sporting Goods Inc.,DKS,0.170353,Consumer Discretionary,869002.000
PS Business Parks Inc.,PSB,0.169942,Real Estate,235317.000
Syneos Health Inc. Class A,SYNH,0.169542,Health Care,717508.000
Dana Incorporated,DAN,0.169505,Consumer Discretionary,1689030.000
Texas Capital Bancshares Inc.,TCBI,0.169371,Financials,591886.000
Owens-Illinois Inc.,OI,0.169103,Materials,1809846.000
Home BancShares Inc.,HOMB,0.168792,Financials,1828448.000
Sensient Technologies Corporation,SXT,0.167573,Materials,498272.000
Colfax Corporation,CFX,0.167337,Industrials,1119776.000
Green Dot Corporation Class A,GDOT,0.167310,Financials,561078.000
United States Steel Corporation,X,0.166708,Materials,2040768.000
NuVasive Inc.,NUVA,0.165923,Health Care,608332.000
Valmont Industries Inc.,VMI,0.165733,Industrials,258502.000
Tempur Sealy International Inc,TPX,0.165301,Consumer Discretionary,540732.000
GATX Corporation,GATX,0.164180,Industrials,431191.000
Adtalem Global Education Inc.,ATGE,0.163171,Consumer Discretionary,680716.000
Fulton Financial Corporation,FULT,0.162324,Financials,2001431.000
Cabot Corporation,CBT,0.161864,Materials,701215.000
Legg Mason Inc.,LM,0.161453,Financials,1007761.000
CNO Financial Group Inc.,CNO,0.159285,Financials,1893410.000
Cathay General Bancorp,CATY,0.159058,Financials,900988.000
LendingTree Inc.,TREE,0.157997,Financials,87675.000
Nu Skin Enterprises Inc. Class A,NUS,0.157706,Consumer Staples,652217.000
BancorpSouth Bank,BXS,0.157189,Financials,1068599.000
Cirrus Logic Inc.,CRUS,0.156965,Information Technology,696762.000
Sanderson Farms Inc.,SAFM,0.156177,Consumer Staples,229697.000
Vishay Intertechnology Inc.,VSH,0.154732,Information Technology,1557717.000
Navient Corp,NAVI,0.154321,Financials,2563711.000
AMC Networks Inc. Class A,AMCX,0.154314,Communication Services,526971.000
Yelp Inc,YELP,0.154219,Communication Services,889042.000
Sprouts Farmers Markets Inc.,SFM,0.151100,Consumer Staples,1462313.000
Washington Federal Inc.,WAFD,0.150301,Financials,955594.000
PotlatchDeltic Corporation,PCH,0.148670,Real Estate,799540.000
Acadia Healthcare Company Inc.,ACHC,0.147247,Health Care,1042103.000
Ligand Pharmaceuticals Incorporated,LGND,0.146408,Health Care,240866.000
Murphy USA Inc.,MUSA,0.144843,Consumer Discretionary,353482.000
Healthcare Services Group Inc.,HCSG,0.143867,Industrials,869426.000
Resideo Technologies Inc.,REZI,0.143762,Industrials,1448694.000
Southwestern Energy Company,SWN,0.142362,Energy,6377367.000
Cantel Medical Corp.,CMD,0.141332,Health Care,427621.000
CommVault Systems Inc.,CVLT,0.138760,Information Technology,454199.000
Meredith Corporation,MDP,0.138727,Communication Services,470999.000
CoreCivic Inc.,CXW,0.137865,Real Estate,1398200.000
PolyOne Corporation,POL,0.137771,Materials,915656.000
Boyd Gaming Corporation,BYD,0.137139,Consumer Discretionary,941339.000
Edgewell Personal Care Co.,EPC,0.136981,Consumer Staples,637573.000
Bed Bath & Beyond Inc.,BBBY,0.136485,Consumer Discretionary,1619580.000
Carpenter Technology Corporation,CRS,0.136032,Materials,558191.000
MEDNAX Inc.,MD,0.134594,Health Care,1035800.000
Boston Beer Company Inc. Class A,SAM,0.134193,Consumer Staples,102579.000
Silgan Holdings Inc.,SLGN,0.133473,Materials,910696.000
Belden Inc.,BDC,0.133253,Information Technology,464166.000
GEO Group Inc,GEO,0.132818,Real Estate,1422245.000
Delphi Technologies Plc,DLPH,0.131760,Consumer Discretionary,1042539.000
Urban Outfitters Inc.,URBN,0.131661,Consumer Discretionary,887699.000
Trustmark Corporation,TRMK,0.130322,Financials,767896.000
Visteon Corporation,VC,0.130054,Consumer Discretionary,332747.000
Sally Beauty Holdings Inc.,SBH,0.129584,Consumer Discretionary,1420231.000
InterDigital Inc.,IDCC,0.129400,Information Technology,384266.000
Penn National Gaming Inc.,PENN,0.129066,Consumer Discretionary,1252620.000
International Bancshares Corporation,IBOC,0.128816,Financials,641637.000
Urban Edge Properties,UE,0.128410,Real Estate,1414918.000
Avis Budget Group Inc.,CAR,0.128133,Industrials,749824.000
Herman Miller Inc.,MLHR,0.127870,Industrials,693863.000
Minerals Technologies Inc.,MTX,0.127831,Materials,415050.000
Uniti Group Inc,UNIT,0.126001,Real Estate,2108604.000
AutoNation Inc.,AN,0.125966,Consumer Discretionary,679043.000
Matador Resources Company,MTDR,0.125206,Energy,1220352.000
CNX Resources Corporation,CNX,0.124023,Energy,2336617.000
Granite Construction Incorporated,GVA,0.124011,Industrials,550004.000
Avanos Medical Inc.,AVNS,0.123898,Health Care,559052.000
Range Resources Corporation,RRC,0.123519,Energy,2446170.000
KB Home,KBH,0.122841,Consumer Discretionary,996957.000
Adient plc,ADNT,0.122273,Consumer Discretionary,1024784.000
Tenet Healthcare Corporation,THC,0.122197,Health Care,979722.000
Commercial Metals Company,CMC,0.121245,Materials,1385830.000
John Wiley & Sons Inc. Class A,JW.A,0.120546,Communication Services,532909.000
World Fuel Services Corporation,INT,0.120458,Energy,791364.000
Terex Corporation,TEX,0.119528,Industrials,729867.000
NetScout Systems Inc.,NTCT,0.116567,Information Technology,825259.000
Hain Celestial Group Inc.,HAIN,0.116200,Consumer Staples,1054897.000
Deluxe Corporation,DLX,0.115419,Industrials,514566.000
Jack in the Box Inc.,JACK,0.115275,Consumer Discretionary,304036.000
Senior Housing Properties Trust,SNH,0.114804,Real Estate,2800748.000
TRI Pointe Group Inc,TPH,0.114052,Consumer Discretionary,1669037.000
Cheesecake Factory Incorporated,CAKE,0.113113,Consumer Discretionary,491369.000
Compass Minerals International Inc.,CMP,0.112894,Materials,399075.000
Mack-Cali Realty Corporation,CLI,0.112699,Real Estate,1064075.000
QEP Resources Inc.,QEP,0.111973,Energy,2784666.000
Genworth Financial Inc. Class A,GNW,0.110417,Financials,5899500.000
McDermott International Inc.,MDR,0.106827,Energy,2129999.000
SM Energy Company,SM,0.106199,Energy,1216570.000
Callon Petroleum Company,CPE,0.104942,Energy,2684644.000
Mallinckrodt Plc,MNK,0.103860,Health Care,983786.000
Patterson Companies Inc.,PDCO,0.102936,Health Care,973242.000
Oasis Petroleum Inc.,OAS,0.102751,Energy,3184496.000
Tanger Factory Outlet Centers Inc.,SKT,0.102006,Real Estate,1106746.000
Plantronics Inc.,PLT,0.098553,Information Technology,385951.000
Oceaneering International Inc.,OII,0.096823,Energy,1164427.000
NOW Inc.,DNOW,0.096328,Industrials,1277537.000
Allscripts Healthcare Solutions Inc.,MDRX,0.095529,Health Care,2018490.000
HNI Corporation,HNI,0.095277,Industrials,512398.000
Alexander & Baldwin Inc.,ALEX,0.092806,Real Estate,798362.000
Brinker International Inc.,EAT,0.091042,Consumer Discretionary,441794.000
Worthington Industries Inc.,WOR,0.090673,Materials,462540.000
Dycom Industries Inc.,DY,0.088176,Industrials,370412.000
Werner Enterprises Inc.,WERN,0.087180,Industrials,514872.000
Prestige Consumer Healthcare Inc,PBH,0.085899,Health Care,610241.000
Inogen Inc.,INGN,0.084504,Health Care,210741.000
Realogy Holdings Corp.,RLGY,0.083217,Real Estate,1336997.000
Sotheby's,BID,0.082610,Consumer Discretionary,387671.000
Mercury General Corporation,MCY,0.080082,Financials,319470.000
Dillard's Inc. Class A,DDS,0.078135,Consumer Discretionary,217692.000
Synaptics Incorporated,SYNA,0.076728,Information Technology,405307.000
Tupperware Brands Corporation,TUP,0.074531,Consumer Discretionary,573354.000
Cars.com Inc.,CARS,0.072168,Communication Services,730467.000
Scientific Games Corporation,SGMS,0.071733,Consumer Discretionary,652076.000
Signet Jewelers Limited,SIG,0.068560,Consumer Discretionary,611584.000
Michaels Companies Inc,MIK,0.066634,Consumer Discretionary,1058962.000
Papa John's International Inc.,PZZA,0.062965,Consumer Discretionary,265159.000
Greif Class A,GEF,0.058943,Materials,309055.000
International Speedway Corporation Class A,ISCA,0.057575,Consumer Discretionary,280121.000
Weight Watchers International Inc.,WTW,0.043621,Consumer Discretionary,457545.000
Tootsie Roll Industries Inc.,TR,0.042552,Consumer Staples,224490.000
